Title,Date,Company
salesforce developer administrator at international rescue committee irc ,02/22/2023,international rescue committee irc 
administrative assistant personal assistant vice chancellor s office at university of embu,02/22/2023,university of embu
administrative assistant personal assistant vice chancellor s office at university of embu,02/22/2023,university of embu
communications officer at lutheran world federation,02/22/2023,lutheran world federation
legal intern at carepay ltd,02/22/2023,carepay ltd
quality assurance engineer at swift hands africa,02/22/2023,swift hands africa
field sales representative at flexi personnel,02/22/2023,flexi personnel
technical sales engineer at bonve africa limited,02/22/2023,bonve africa limited
relationship officer pamoja banking at equity bank kenya,02/22/2023,equity bank kenya
hr business partner at equity bank kenya,02/22/2023,equity bank kenya
client relations assistant call centre assistant at cic insurance,02/22/2023,cic insurance
client relations officer medical at cic insurance,02/22/2023,cic insurance
technical officer hiv care treatment at centre for health solutions kenya chs ,02/22/2023,centre for health solutions kenya chs 
sales representative at adanian labs,02/22/2023,adanian labs
risk consultant at minet kenya,02/22/2023,minet kenya
assistant manager business development general business non medical at minet kenya,02/22/2023,minet kenya
senior account executive business development general business non medical at minet kenya,02/22/2023,minet kenya
data manager at kemri wellcome trust research programme kwtrp ,02/22/2023,kemri wellcome trust research programme kwtrp 
senior data manager at kemri wellcome trust research programme kwtrp ,02/22/2023,kemri wellcome trust research programme kwtrp 
client service officer at scope markets,02/22/2023,scope markets
public engagement assistant alumni coordinator at embassy of the united states,02/22/2023,embassy of the united states
electrical maintenance engineer at crystal recruit,02/22/2023,crystal recruit
mechanical maintenance engineer at crystal recruit,02/22/2023,crystal recruit
training advisory officer at madison group limited,02/22/2023,madison group limitedmadison group limited is a locally owned financial services holding company that specializes in insurance and wealth management services the group comprises of madison life assurance kenya limited madison general insurance kenya limited and madison investment managers limited madison life assurance kenya was originally incorporated under kenyan laws in 1988 as madison insurance company limited mick after a successful merger between crusader plc 1974 and kenya commercial insurance corporation 
coordinator information management at international federation of red cross and red crescent societies ifrc ,02/22/2023,international federation of red cross and red crescent societies ifrc 
project officer cervical breast cancer atproject officer cervical breast cancer at catholic medical mission board s cmmb catholic medical mission board s cmmb ,02/22/2023,catholic medical mission board s cmmb 
senior occupational health specialist strategy and operations at world bank group,02/22/2023,world bank group
sales team lead siaya at sunculture kenya ltd,02/22/2023,sunculture kenya ltd
driver lowdar at mercy corps,02/22/2023,mercy corps
driver maralal at mercy corps,02/22/2023,mercy corps
program officer at elite lbq,02/22/2023,elite lbq
regional accountants upper eastern region meru office at kenya association of music producers kamp ,02/22/2023,kenya association of music producers kamp 
regional accountants nyanza region kisumu office at kenya association of music producers kamp ,02/22/2023,kenya association of music producers kamp 
regional accountants south rift region nakuru office at kenya association of music producers kamp ,02/22/2023,kenya association of music producers kamp 
regional accountants central region nyeri office at kenya association of music producers kamp ,02/22/2023,kenya association of music producers kamp 
regional accountants nairobi region nairobi office at kenya association of music producers kamp ,02/22/2023,kenya association of music producers kamp 
key stage 2 tutor at kidato inc,02/22/2023,kidato inc
logistics officer at still i rise,02/22/2023,still i rise
administration officer at still i rise,02/22/2023,still i rise
gis remote sensing interns at regional centre for mapping of resources for development rcmrd ,02/22/2023,regional centre for mapping of resources for development rcmrd 
human resources specialist at unicef,02/22/2023,unicef
theme leader biodiversity and tree genetic resources at world agroforestry centre icraf ,02/22/2023,world agroforestry centre icraf 
intake care representative at cigna,02/22/2023,cigna
intern experience centre at koko networks,02/22/2023,koko networks
senior lead talent acquisition east africa region at m kopa solar,02/22/2023,m kopa solar
finance assistant at world university service of canada,02/22/2023,world university service of canada
sales manager at stratostaff,02/22/2023,stratostaff
sales consultant executive at stratostaff,02/22/2023,stratostaff
office coordinator at stratostaff,02/22/2023,stratostaff
front office admin at stratostaff,02/22/2023,stratostaff
sales engineer at stratostaff,02/22/2023,stratostaff
production manager at lesaffre,02/22/2023,lesaffre
director malaria and neglected tropical diseases mntd at path,02/22/2023,path
design and innovation lead living labs kisumu at path,02/22/2023,path
design and innovation lead living labs nairobi at path,02/22/2023,path
temporary design and innovation specialist living labs at path,02/22/2023,path
associate product manager living labs at path,02/22/2023,path
monitoring evaluation and learning officer momentum routine immunization transformation and equity at path,02/22/2023,path
corporate communications officer at kenya association of manufacturers,02/22/2023,kenya association of manufacturers
administrative officer at international institute for democracy and electoral assistance,02/22/2023,international institute for democracy and electoral assistance
journalist bbc monitoring somali at bbc monitoring,02/22/2023,bbc monitoring
class teacher cbc grade 7 9 at wisen hr services,02/22/2023,wisen hr services
administrative assistant school at wisen hr services,02/22/2023,wisen hr services
training development and employee performance lead at wisen hr services,02/22/2023,wisen hr services
marketing manager at stellar human resource solutions,02/22/2023,stellar human resource solutions
human resources intern at christian blind mission cbm ,02/22/2023,christian blind mission cbm 
finance operations director young african leaders initiative at irex,02/22/2023,irex
demand planner at corporate staffing,02/22/2023,corporate staffing
assistant interior designer tailor at corporate staffing,02/22/2023,corporate staffing
senior registrar anaesthesiology and critical care at mater hospital,02/22/2023,mater hospital
icu coordinator at mater hospital,02/22/2023,mater hospital
human resource officer generalist at church world service cws ,02/22/2023,church world service cws 
associate principal natural capital carbon finance at crossboundary,02/22/2023,crossboundary
finance and base administration assistant at action against hunger international,02/22/2023,action against hunger international
audit assistant at baus optical company limited,02/22/2023,baus optical company limited
assistant sales executive at baus optical company limited,02/22/2023,baus optical company limited
social media executive at fanisi hr solutions,02/22/2023,fanisi hr solutions
inventory analyst at penda health,02/22/2023,penda health
manager global business services centre of digital excellence at genesis analytics,02/22/2023,genesis analytics
behavioral science specialist health at genesis analytics,02/22/2023,genesis analytics
k12 manager at genesis analytics,02/22/2023,genesis analytics
manager programme evaluation at genesis analytics,02/22/2023,genesis analytics
tally assistant sc2 kakuma at world food programme wfp ,02/22/2023,world food programme wfp 
storekeeper sc4 kakuma at world food programme wfp ,02/22/2023,world food programme wfp 
cloud solutions engineer at deloitte consulting,02/22/2023,deloitte consulting
sales team credit manager at d light,02/22/2023,d light
cx team credit manager at d light,02/22/2023,d light
ginnery production manager at co operative bank of kenya,02/22/2023,co operative bank of kenya
bids sales officer at jubilee insurance,02/22/2023,jubilee insurance
principal health financing human development at genesis analytics,02/22/2023,genesis analytics
senior group service administrator at genesis analytics,02/22/2023,genesis analytics
associate quantitative social sector financing human development at genesis analytics,02/22/2023,genesis analytics
business development manager at genesis analytics,02/22/2023,genesis analytics
it intern at sense international,02/22/2023,sense international
program accounts intern at sense international,02/22/2023,sense international
program intern at sense international,02/22/2023,sense international
food security and livelihoods fsl specialist for kenya somalia at impact initiatives,02/22/2023,impact initiatives
deputy country coordinator for kenya and somalia at impact initiatives,02/22/2023,impact initiatives
office assistant cleaner at peace winds japan,02/22/2023,peace winds japan
pharmaceutical technologist ruiru at plainsview hospital,02/22/2023,plainsview hospital
receptionist ruiru at plainsview hospital,02/22/2023,plainsview hospital
sexual reproductive health mobile facilitator at medecins sans frontieres msf ,02/22/2023,medecins sans frontieres msf 
assistant director information communications technology ict test at retirement benefits authority,02/22/2023,retirement benefits authority
regional hr and administration manager at danish refugee council drc ,02/22/2023,danish refugee council drc 
roving hr coordinator at danish refugee council drc ,02/22/2023,danish refugee council drc 
marketing manager experiential activations at old mutual kenya,02/22/2023,old mutual kenya
group security manager at britam,02/22/2023,britam
analyst enterprise systems support at safaricom kenya,02/22/2023,safaricom kenya
regional communications manager east africa at wildlife works,02/22/2023,wildlife works
deputy team lead cash transfer technical lead at crown agents ltd,02/22/2023,crown agents ltd
human resource officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
accountant at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
senior ict officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
senior procurement officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
senior complaints management officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
senior risk and audit officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
senior administration officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
senior monitoring officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
senior inspections officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
principal investigations officer at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
head of complaints management at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
head of forensics and rapid response at independent policing oversight authority ipoa ,02/21/2023,independent policing oversight authority ipoa 
treasury trade solutions full time graduate analyst at citi,02/21/2023,citi
legal secretary at ital global,02/21/2023,ital global
sports trader at asianlogic group,02/21/2023,asianlogic group
solution architect at ericsson,02/21/2023,ericsson
assistant storekeeper at world food programme wfp ,02/21/2023,world food programme wfp 
driver airport dispatch support g3 at world food programme wfp ,02/21/2023,world food programme wfp 
head of platform operations at wasoko,02/21/2023,wasoko
senior data science manager at aquaya,02/21/2023,aquaya
partnership philanthropy content at save the children,02/21/2023,save the children
quality and performance supervisor at flexi personnel,02/21/2023,flexi personnel
lead trainer at flexi personnel,02/21/2023,flexi personnel
fraud prevention manager at flexi personnel,02/21/2023,flexi personnel
fraud prevention assistant at flexi personnel,02/21/2023,flexi personnel
assistant fraud quality supervisor at flexi personnel,02/21/2023,flexi personnel
finance manager at flexi personnel,02/21/2023,flexi personnel
accountant at flexi personnel,02/21/2023,flexi personnel
sme qos governance at nokia,02/21/2023,nokia
commercial director at sistema biobolsa,02/21/2023,sistema biobolsa
public area associate at monarch boutique hotel,02/21/2023,monarch boutique hotel
cook at monarch boutique hotel,02/21/2023,monarch boutique hotel
accounts assistant at monarch boutique hotel,02/21/2023,monarch boutique hotel
driver at monarch boutique hotel,02/21/2023,monarch boutique hotel
front office associate at monarch boutique hotel,02/21/2023,monarch boutique hotel
restaurant manager at monarch boutique hotel,02/21/2023,monarch boutique hotel
sales accounts manager at monarch boutique hotel,02/21/2023,monarch boutique hotel
manager strategy and planning at kca university kcau ,02/21/2023,kca university kcau 
mathematics science teacher at sabis international school,02/21/2023,sabis international school
driving school instructor at bureti technical training institute,02/21/2023,bureti technical training institute
internal auditor assistant 1 post at bureti technical training institute,02/21/2023,bureti technical training institute
mechanical technician at wartsila eastern africa ltd,02/21/2023,wartsila eastern africa ltd
customs compliance coordinator at wartsila eastern africa ltd,02/21/2023,wartsila eastern africa ltd
digital marker graphic designer at dove nest lodge,02/21/2023,dove nest lodge
pharmacist at life care hospital kenya,02/21/2023,life care hospital kenya
marketing officer bungoma at aga khan hospital kisumu,02/21/2023,aga khan hospital kisumu
site supervisor at ice clean care group,02/21/2023,ice clean care group
creative director at virtual hr,02/21/2023,virtual hr
construction director at cure international,02/21/2023,cure international
anesthesiologist at cure international,02/21/2023,cure international
development and programs manager at cure international,02/21/2023,cure international
program intern at sense international,02/21/2023,sense international
research internship at laterite,02/21/2023,laterite
chuka bible translator at bible translation and literacy,02/21/2023,bible translation and literacy
access territory lead elgeyo marakwet at engie,02/21/2023,engie
access territory lead makueni at engie,02/21/2023,engie
access territory lead baringo at engie,02/21/2023,engie
head of legal compliance at engie,02/21/2023,engie
kenya head of finance at engie,02/21/2023,engie
mechanical design engineer at janta kenya,02/21/2023,janta kenya
design electrical engineer at janta kenya,02/21/2023,janta kenya
digital marketer at janta kenya,02/21/2023,janta kenya
digital marketing intern at stellar human resource solutions,02/21/2023,stellar human resource solutions
assistant ict officer at echo network africa,02/21/2023,echo network africa
chairperson at the ministry labour and social protection,02/21/2023,the ministry labour and social protection
committee members at the ministry labour and social protection,02/21/2023,the ministry labour and social protection
program assistant refugee affairs at embassy of the united states,02/21/2023,embassy of the united states
procurement executive at r4kenya,02/21/2023,r4kenya
finance assistant at interpeace,02/21/2023,interpeace
business development manager at fanisi hr solutions,02/21/2023,fanisi hr solutions
project officer school feeding at international aid services ias ,02/21/2023,international aid services ias 
maths chemistry teacher at oshwal academy mombasa,02/21/2023,oshwal academy mombasa
recruitment manager at burn manufacturing,02/21/2023,burn manufacturing
accountant at digital divide data ddd kenya ,02/21/2023,digital divide data ddd kenya 
laboratory technician at nova pioneer,02/21/2023,nova pioneer
parent fee support intern at nova pioneer,02/21/2023,nova pioneer
supervisor cssd at aga khan university hospital,02/21/2023,aga khan university hospital
anaesthetic assistant operating room at aga khan university hospital,02/21/2023,aga khan university hospital
business development manager hr services at wisen hr services,02/21/2023,wisen hr services
head teacher primary school at wisen hr services,02/21/2023,wisen hr services
class teacher cbc grade 7 9 at wisen hr services,02/21/2023,wisen hr services
kehancha municipality board members 4 posts at migori county,02/21/2023,migori county
migori municipality board members 4 posts at migori county,02/21/2023,migori county
awendo municipality board members 4 posts at migori county,02/21/2023,migori county
rongo municipality board members 4 posts at migori county,02/21/2023,migori county
miyare agricultural training center atc board members 9 post at migori county,02/21/2023,migori county
reward reporting and analytics consultant at old mutual kenya,02/21/2023,old mutual kenya
regional program director water sanitation and hygiene wash at world vision kenya,02/21/2023,world vision kenya
vertical form fill seal vffs packaging machine operator at crystal recruit,02/21/2023,crystal recruit
teacher of english prep school at st andrew s school,02/21/2023,st andrew s school
member county public service board 1 post at makueni county public service board,02/21/2023,makueni county public service board
lecturer grade 12 department of zoology at jomo kenyatta university of agriculture technology,02/21/2023,jomo kenyatta university of agriculture technology
tutorial fellow grade 11 department of zoology at jomo kenyatta university of agriculture technology,02/21/2023,jomo kenyatta university of agriculture technology
mis analyst at sidian bank,02/21/2023,sidian bank
devops engineer at safaricom kenya,02/21/2023,safaricom kenya
medical representative at loreal,02/21/2023,loreal
senior associate audit at kpmg,02/21/2023,kpmg
it audit managers at kpmg,02/21/2023,kpmg
senior associate environmental social and governance esg reporting at kpmg,02/21/2023,kpmg
sales account executive at kwara,02/21/2023,kwara
customer support trainee at kwara,02/21/2023,kwara
business performance revenue assurance officer at equity bank kenya,02/21/2023,equity bank kenya
corporate health underwriting associate at britam,02/21/2023,britam
monitoring evaluation and learning officer me l at world agroforestry centre icraf ,02/21/2023,world agroforestry centre icraf 
glf multimedia consultant at world agroforestry centre icraf ,02/21/2023,world agroforestry centre icraf 
emergency medical technician kisumu at st john ambulance,02/21/2023,st john ambulance
submit cv s latest recruitment at st john ambulance,02/21/2023,st john ambulance
emergency medical technician malindi at st john ambulance,02/21/2023,st john ambulance
emergency medical technician eldoret at st john ambulance,02/21/2023,st john ambulance
emergency medical technician kakamega at st john ambulance,02/21/2023,st john ambulance
emergency medical technician nyeri at st john ambulance,02/21/2023,st john ambulance
emergency medical technician nanyuki at st john ambulance,02/21/2023,st john ambulance
emergency medical technician embu at st john ambulance,02/21/2023,st john ambulance
driver airport dispatch support g3 at world food programme wfp ,02/21/2023,world food programme wfp 
horeca sales representative at kenya wine agencies limited kwal ,02/21/2023,kenya wine agencies limited kwal 
planning intern at kenya wine agencies limited kwal ,02/21/2023,kenya wine agencies limited kwal 
intern peace and development i at united nations office at nairobi unon ,02/21/2023,united nations office at nairobi unon 
cx analyst contact centre at ncba group,02/21/2023,ncba group
cx analyst group and subsidiary support at ncba group,02/21/2023,ncba group
regulatory compliance officer at ncba group,02/21/2023,ncba group
it service desk analyst at ncba group,02/21/2023,ncba group
lead technical and vocational education at united states international university usiu africa,02/21/2023,united states international university usiu africa
ifdc country director at international fertilizer development center ifdc ,02/21/2023,international fertilizer development center ifdc 
production operator at m kopa solar,02/21/2023,m kopa solar
grade 1 and grade 3 maternity cover teachers at nova pioneer,02/21/2023,nova pioneer
pre primary apprentice teacher athi river day school at nova pioneer,02/21/2023,nova pioneer
associate programme management officer at united nations environment programme unep ,02/21/2023,united nations environment programme unep 
evaluation consultant for terminal evaluation of the unep gef project delivering the transition to energy efficient lighting in residential commercial industrial and outdoor sectors in pakistan at united nations environment programme unep ,02/21/2023,united nations environment programme unep 
intern environment affairs at united nations environment programme unep ,02/21/2023,united nations environment programme unep 
submit cv s latest recruitment at machakos university,02/20/2023,machakos university
school of humanities sociology adjunct associate and senior professor at machakos university,02/20/2023,machakos university
school of humanities geography adjunct associate and senior professor at machakos university,02/20/2023,machakos university
school of humanities history adjunct associate and senior professor at machakos university,02/20/2023,machakos university
school of humanities counselling pshychology adjunct associate and senior professor at machakos university,02/20/2023,machakos university
school of humanities public administration and policy adjunct associate and senior professor at machakos university,02/20/2023,machakos universitythe core mandate of machakos university is to teach train conduct research innovate collaborate generate new knowledge and community service identity statement machakos university is an academic institution committed in transmitting knowledge skills and attitude through science technology and innovation for the benefit of humanity 
school of humanities gender and development studies adjunct associate and senior professor at machakos university,02/20/2023,machakos university
assistant student counsellor at machakos university,02/20/2023,machakos university
senior accountant grade 12 at machakos university,02/20/2023,machakos university
assistant registrar at machakos university,02/20/2023,machakos university
deputy information technology officer at machakos university,02/20/2023,machakos university
deputy university liberian at machakos university,02/20/2023,machakos university
sales executive at summit human resource marketing consultant,02/20/2023,summit human resource marketing consultant
consultants mixed methods research in perinatal and child health at world health organization who ,02/20/2023,world health organization who 
consultant biosecurity and health security at world health organization who ,02/20/2023,world health organization who 
database administrator at old mutual kenya,02/20/2023,old mutual kenya
talent partner at sanergy,02/20/2023,sanergy
government relations supervisor at sanergy,02/20/2023,sanergy
psychosocial intern dadaab at refugee consortium of kenya,02/20/2023,refugee consortium of kenya
company secretary at practical action kenya,02/20/2023,practical action kenya
finance director at summit recruitment and search,02/20/2023,summit recruitment and search
business developer air conditioning at bosch africa,02/20/2023,bosch africa
business development manager medical at hcs africa,02/20/2023,hcs africa
zonal manager at hcs africa,02/20/2023,hcs africa
maintenance assistant at summit human resource marketing consultant,02/20/2023,summit human resource summit human resource marketing consultantmarketing consultant
warehouse coordinator supervisor at summit human resource marketing consultant,02/20/2023,summit human resource marketing consultant
accounts assistant payables at cic insurance,02/20/2023,cic insurance
privacy counsel at bolt,02/20/2023,bolt
accountant cic asset management at cic insurance,02/20/2023,cic insurance
security manager p4 at unicef,02/20/2023,unicef
chief of unit information systems p4 at united nations office at nairobi unon ,02/20/2023,united nations office at nairobi unon 
it internship at safariwatch limited,02/20/2023,safariwatch limited
commercial property manager nairobi at gap recruitment services limited,02/20/2023,gap recruitment services limited
finance officer at gap recruitment services limited,02/20/2023,gap recruitment services limited
sales executive at gap recruitment services limited,02/20/2023,gap recruitment services limited
business development executive visitor management system at gap recruitment services limited,02/20/2023,gap recruitment services limited
sales representative it hardware at gap recruitment services limited,02/20/2023,gap recruitment services limited
data entry document management clerk thika at gap recruitment services limited,02/20/2023,gap recruitment services limited
sales executive real estate at gap recruitment services limited,02/20/2023,gap recruitment services limited
telesales executive at gap recruitment services limited,02/20/2023,gap recruitment services limited
insurance sales executive at gap recruitment services limited,02/20/2023,gap recruitment services limited
housekeeper at gap recruitment services limited,02/20/2023,gap recruitment services limited
legal councel officer at gap recruitment services limited,02/20/2023,gap recruitment services limited
hardware store manager thika at gap recruitment services limited,02/20/2023,gap recruitment services limited
technical account product manager at frank management consult ltd,02/20/2023,frank management consult ltd
executive driver at frank management consult ltd,02/20/2023,frank management consult ltd
horticulture go to market manager at bayer east africa,02/20/2023,bayer east africa
part time ib educator at mpesa foundation academy,02/20/2023,mpesa foundation academy
humanitarian programme support officer at oxfam,02/20/2023,oxfam
intern human resources at standard investment bank,02/20/2023,standard investment bank
facilities administrative assistant 3 at church of jesus christ of latter day saints,02/20/2023,church of jesus christ of latter day saints
accountant senior at church of jesus christ of latter day saints,02/20/2023,church of jesus christ of latter day saints
ambulance operators malindi at st john ambulance,02/20/2023,st john ambulance
ambulance operators kisumu at st john ambulance,02/20/2023,st john ambulance
ambulance operators kakamega at st john ambulance,02/20/2023,st john ambulance
ambulance operators eldoret at st john ambulance,02/20/2023,st john ambulance
ambulance operators nanyuki at st john ambulance,02/20/2023,st john ambulance
ambulance operators nyeri at st john ambulance,02/20/2023,st john ambulance
ambulance operators embu at st john ambulance,02/20/2023,st john ambulance
operations pharmacist at imperial logistics,02/20/2023,imperial logistics
senior research scientist women youth economic opportunity security at international center for research on women icrw ,02/20/2023,international center for research on women icrw 
banca relationship executive health business at britam,02/20/2023,britam
information ecosystem assessment at saferworld,02/20/2023,saferworld
operations assistant social media marketer at amanbo com,02/20/2023,amanbo com
automotive mechanic at amicabre travel services,02/20/2023,amicabre travel services
senior accountant at ihuman resource consulting ltd ihr ,02/20/2023,ihuman resource consulting ltd ihr 
planning engineer at rose avenue group,02/20/2023,rose avenue group
business development and partnerships manager technology at one acre fund,02/20/2023,one acre fund
finance officer at tushinde children s trust,02/20/2023,tushinde children s trust
legal officer 2 positions at retirement benefits authority,02/20/2023,retirement benefits authority
warehouse management associate g6 kakuma re advertisement at world food programme wfp ,02/20/2023,world food programme wfp 
hr officer strategic workforce planning consultant at world food programme wfp ,02/20/2023,world food programme wfp 
human resources consultant roster at world food programme wfp ,02/20/2023,world food programme wfp 
members of board of directors at kajiado county,02/20/2023,kajiado county
carbon technical officer at burn manufacturing,02/20/2023,burn manufacturing
registrar academic and affairs 1 position at kisii university,02/20/2023,kisii university
registrar research extension innovation and resources mobilization 1 position at kisii university,02/20/2023,kisii university
registrar administration human resource and central services at kisii university,02/20/2023,kisii university
chief planning officer 1 position at kisii university,02/20/2023,kisii university
human resource manager 1 position at kisii university,02/20/2023,kisii university
post doctoral scientist cellular biologist at international livestock research institute ilri ,02/20/2023,international livestock research institute ilri 
protection data administrator at international committee of the red cross icrc ,02/20/2023,international committee of the red cross icrc 
pricing manager at kenya airways,02/20/2023,kenya airways
chief of party kenya private sector activity at palladium international,02/20/2023,palladium international
hr records officer at rafiki microfinance bank,02/20/2023,rafiki microfinance bank
senior officer forensic investigations at rafiki microfinance bank,02/20/2023,rafiki microfinance bank
submit cv s new recruitment at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer business and economics at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer arts and social sciences at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer agriculture at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer natural sciences at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer information technology at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer engineering at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer business and economics at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
part time lecturer medical at masinde muliro university of science technology mmust ,02/20/2023,masinde muliro university of science technology mmust 
general manager at corporate staffing,02/20/2023,corporate staffing
software developer at gelian hotel machakos,02/20/2023,gelian hotel machakos
interior designer at gelian hotel machakos,02/20/2023,interior designer at gelian hotel machakos
provider partnerships executive at gelian hotel machakos,02/20/2023,gelian hotel machakos
business analyst at safaricom kenya,02/20/2023,safaricom kenya
humanitarian affairs advisor at medecins sans frontieres msf ,02/20/2023,medecins sans frontieres msf 
office manager at the chambers federation,02/20/2023,the chambers federation
graphics designer creative designer at liveal limited,02/20/2023,liveal limited
internal audit officer at smep microfinance bank,02/20/2023,smep microfinance bank
marketing officer at human asset consultants ltd,02/20/2023,human asset consultants ltd
key stage 3 teacher of humanities â prep school at st andrewâ s school,02/20/2023,st andrew s school
managing director at deloitte consulting,02/20/2023,deloitte consulting
group treasury analyst at diageo,02/20/2023,diageo
senior librarian grade 13 at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
senior lecturer senior research fellow at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
teacher iii grade 4 at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
teacher ii grade 5 at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
teacher i grade 6 at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
senior teacher grade 7 at jomo kenyatta university of agriculture technology,02/20/2023,jomo kenyatta university of agriculture technology
senior developer at compassion international,02/20/2023,compassion international
special assistant administration p4 at united nations environment programme unep ,02/20/2023,united nations environment programme unep 
associate livelihoods at refugepoint,02/20/2023,refugepoint
officer food program at refugepoint,02/20/2023,refugepoint
officer partnerships at standard bank group,02/20/2023,standard bank group
business advisor markets at technoserve kenya,02/20/2023,technoserve kenya
video editor at dgb group,02/20/2023,dgb group
front end developer at dgb group,02/20/2023,dgb group
product owner at dgb group,02/20/2023,dgb group
software team lead at dgb group,02/20/2023,dgb group
program officer at hekima university college,02/20/2023,hekima university college
administrator at crystal recruit,02/20/2023,crystal recruit
collection officers at crystal recruit,02/20/2023,crystal recruit
hr administrator at summit recruitment and search,02/20/2023,summit recruitment and search
finance director at summit recruitment and search,02/20/2023,summit recruitment and search
finance manager financial accounting controls and compliance at save the children,02/20/2023,save the children
accounts customer service executive at ngong veg limited,02/20/2023,ngong veg limited
quantity surveyor diploma intern 2 positions at nairobi city county public service board,02/20/2023,nairobi city county public service board
quantity surveyor bsc intern at nairobi city county public service board,02/20/2023,nairobi city county public service board
architect bsc intern at nairobi city county public service board,02/20/2023,nairobi city county public service board
civil engineering diploma interns 14 positions at nairobi city county public service board,02/20/2023,nairobi city county public service board
architect diploma intern 2 positions at nairobi city county public service board,02/20/2023,nairobi city county public service board
civil engineering bsc interns 14 positions at nairobi city county public service board,02/20/2023,nairobi city county public service board
engineering manager sustaining software engineering worldwide at canonical,02/20/2023,canonical
chairperson county executive audit committee at vihiga county public service board,02/20/2023,vihiga county public service board
member county executive audit committee 3 positions at vihiga county public service board,02/20/2023,vihiga county public service board
member county executive audit committee 3 positions at vihiga county public service board,02/20/2023,vihiga county public service board
relationship manager at flexi personnel,02/20/2023,flexi personnel
regional communication officer at world agroforestry centre icraf ,02/20/2023,world agroforestry centre icraf 
medical officer outreach clinic mountain view at aga khan university hospital,02/20/2023,aga khan university hospital
clinical officer anaesthetist at st francis community hospital,02/20/2023,st francis community hospital
factory manager corrugated packaging at mood group,02/20/2023,mood group
engineering manager corrugated packaging at mood group,02/20/2023,mood group
deputy head teacher angelina jolie at lutheran world federation,02/20/2023,lutheran world federation
flex finance associate at givedirectly,02/20/2023,givedirectly
pharmaceutical technologist at st francis community hospital,02/20/2023,st francis community hospital
sales intern at proto energy,02/20/2023,proto energy
pipe fitter at proto energy,02/20/2023,proto energy
delivery service agent at proto energy,02/20/2023,proto energy
research manager at plan international,02/20/2023,plan international
library assistant temporary at united nations environment programme unep ,02/20/2023,united nations environment programme unep 
sr training and learning advisor at world vision kenya,02/20/2023,world vision kenya
strategic relationship mgr 2 at church of jesus christ of latter day saints,02/20/2023,church of jesus christ of latter day saints
manager area ics 1 at church of jesus christ of latter day saints,02/20/2023,church of jesus christ of latter day saints
financial planning analysis manager at kyosk digital services,02/20/2023,kyosk digital services
accounts payable clerk 2 positions at canonical,02/20/2023,canonical
submit cv s latest recruitment at machakos county public service board,02/17/2023,machakos county public service board
hospitality officer ii deputy governor office at machakos county public service board,02/17/2023,machakos county public service board
assistant geologist water deputy governor office at machakos county public service board,02/17/2023,machakos county public service board
assistant engineer ii electrical deputy governor office 2 positions at machakos county public service board,02/17/2023,machakos county public service board
assistant director administration deputy governor office at machakos county public service board,02/17/2023,machakos county public service board
administration officer i deputy governor office 2 positions at machakos county public service board,02/17/2023,machakos county public service board
principal administration officer deputy governor office at machakos county public service board,02/17/2023,machakos county public service board
assistant director administration deputy governor office at machakos county public service board,02/17/2023,machakos county public service board
nursing tutor at pcea chogoria hospital,02/17/2023,pcea chogoria hospital
consultant biosecurity and health security deliberate events at world health organization who ,02/17/2023,world health organization who 
consultant fleet management at world health organization who ,02/17/2023,world health organization who 
senior manager business development mid market east africa at visa,02/17/2023,visa
technical account product manager at frank management consult ltd,02/17/2023,frank management consult ltd
executive driver at frank management consult ltd,02/17/2023,frank management consult ltd
